Surface Type,Location,Climate Zones,Ground Adjacent,Construction Type,Occupancy Types,Heated,U/F/C,R-Cavity,R-Continuous,Notes
Wall,Semi-exterior,"2A,2B",FALSE,METAL_BUILDING,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.162,13,0,
Wall,Exterior,"2A,2B",FALSE,STEEL_FRAMED,NONRESIDENTIAL,FALSE,0.084,13,3.8,
Wall,Exterior,"2A,2B",FALSE,STEEL_FRAMED,RESIDENTIAL,FALSE,0.064,13,7.5,
Wall,Semi-exterior,"2A,2B,3A,3B,3C,4A,4B,4C",FALSE,STEEL_FRAMED,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.124,13,0,
Wall,Semi-exterior,"2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,5C,6A,6B",FALSE,"WOOD_FRAMED,OTHER","NONRESIDENTIAL,RESIDENTIAL",FALSE,0.089,13,0,
Wall,Exterior,"3A,3B,3C",FALSE,MASS,NONRESIDENTIAL,FALSE,0.123,0,7.6,
Wall,Exterior,"3A,3B,3C",FALSE,MASS,RESIDENTIAL,FALSE,0.104,0,9.5,
Wall,Exterior,"3A,3B,3C",FALSE,METAL_BUILDING,NONRESIDENTIAL,FALSE,0.094,0,9.8,
Wall,Exterior,"3A,3B,3C",FALSE,METAL_BUILDING,RESIDENTIAL,FALSE,0.072,0,13,
Wall,Semi-exterior,"3A,3B,3C,4A,4B,4C",FALSE,METAL_BUILDING,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.162,13,0,
Wall,Exterior,"3A,3B,3C",FALSE,STEEL_FRAMED,NONRESIDENTIAL,FALSE,0.077,13,5,
Wall,Exterior,"3A,3B,3C",FALSE,STEEL_FRAMED,RESIDENTIAL,FALSE,0.064,13,7.5,
Wall,Exterior,"3A,3B,3C",FALSE,"WOOD_FRAMED,OTHER",NONRESIDENTIAL,FALSE,0.089,13,0,
Wall,Exterior,"3A,3B,3C",FALSE,"WOOD_FRAMED,OTHER",RESIDENTIAL,FALSE,0.064,13,3.8,
Wall,Exterior,"4A,4B,4C",FALSE,MASS,NONRESIDENTIAL,FALSE,0.104,0,9.5,
Wall,Exterior,"4A,4B,4C",FALSE,MASS,RESIDENTIAL,FALSE,0.09,0,11.4,
